symbol,name,sector
IBB,Biotechnology,Healthcare
IHF,Healthcare Providers,Healthcare
IHI,Medical Devices,Healthcare
IHE,Pharmaceuticals,Healthcare
IEZ,Oil Equipment & Services,Energy
IEO,Oil & Gas Explocation,Energy
IGM,Expanded Tech,Technology
SOXX,Semiconductors,Technology
IGV,Tech Software,Technology
IGN,Tech Multimedia,Technology
ITA,Aerospace & Defense,Industrials
IYT,Transportation,Industrials
ITB,Home Construction,Consumer Discretionary
IAI,Broker-Dealers & Securities Exchange,Financials
IYG,Financial Services,Financials
IYK,Insurance,Financials
IAT,Regional Banks,Financials
REM,Mortgage REITS,Real Estate
REZ,Residential Real Estate,Real Estate
ICOP,Copper & Metals Miners,Materials
RING,Gold Miners,Materials
ILIT,Lithium Miners & Producers,Materials
PICK,Metal Producers & Miners,Materials
SLVP,Silver Miners,Materials
WOOD,Timber & Forestry,Materials
